iter	RMSE
0	2.195187153
1	2.190799195
2	2.187401393
3	2.184480471
4	2.182104728
5	2.180165125
6	2.178622607
7	2.177313128
8	2.176162934
9	2.175069583
10	2.173928465
11	2.173132724
12	2.172432952
13	2.171787869
14	2.170989891
15	2.170360202
16	2.169845179
17	2.169347217
18	2.168937927
19	2.168422829
20	2.167895204
21	2.167570093
22	2.16716706
23	2.166751397
24	2.166503098
25	2.166274771
26	2.165988963
27	2.165580267
28	2.165199975
29	2.164920959
30	2.164415629
31	2.164064942
32	2.163855407
33	2.163606593
34	2.163362784
35	2.163146602
36	2.162914421
37	2.162717395
38	2.162523944
39	2.162335974
40	2.162139787
41	2.161970063
42	2.1617847
43	2.16161875
44	2.161465536
45	2.161276214
46	2.161041504
47	2.160927447
48	2.160768995
49	2.160647302
50	2.160465082
51	2.160337197
52	2.160163472
53	2.16002211
54	2.15987831
55	2.159734892
56	2.159537323
57	2.159431404
58	2.159321047
59	2.159196382
60	2.15901479
61	2.158895335
62	2.158766801
63	2.158645979
64	2.158435001
65	2.158323415
66	2.158213249
67	2.15808635
68	2.157966072
69	2.157889334
70	2.157770514
71	2.157658861
72	2.157544894
73	2.15745056
74	2.157379596
75	2.15729186
76	2.157168239
77	2.15705984
78	2.156984891
79	2.156888701
80	2.156776259
81	2.156698354
82	2.15662709
83	2.156532057
84	2.156447439
85	2.156358334
86	2.156279357
87	2.156184497
88	2.156098415
89	2.156024847
90	2.155932454
91	2.155858691
92	2.155755139
93	2.155664269
94	2.155596861
95	2.155458666
96	2.155357855
97	2.155271465
98	2.155199328
99	2.155117109
100	2.155064247
101	2.154989997
102	2.154907166
103	2.15483495
104	2.154737888
105	2.154658985
106	2.154543927
107	2.15444489
108	2.154370249
109	2.154282275
110	2.154211458
111	2.154141769
112	2.154079558
113	2.154002075
114	2.153924103
115	2.153841278
116	2.153770129
117	2.153683554
118	2.153579206
119	2.153490899
120	2.15341333
121	2.153288417
122	2.153096054
123	2.153014725
124	2.152916965
125	2.152838403
126	2.152737427
127	2.152680555
128	2.152579869
129	2.152493546
130	2.152406401
131	2.152339147
132	2.152259328
133	2.152169236
134	2.15206387
135	2.151920779
136	2.151862415
137	2.151745239
138	2.151645914
139	2.151548179
140	2.151359971
141	2.151242452
142	2.151127329
143	2.151000702
144	2.150871048
145	2.150752946
146	2.150639576
147	2.1505547
148	2.150452667
149	2.150349062
150	2.150250649
151	2.150172806
152	2.150049725
153	2.149969484
154	2.149843589
155	2.14973616
156	2.149651751
157	2.149570564
158	2.149483059
159	2.149387907
160	2.149281251
161	2.149203447
162	2.149071905
163	2.148977699
164	2.148865206
165	2.148768803
166	2.148661463
167	2.148573419
168	2.148474875
169	2.148408609
170	2.148335164
171	2.148265907
172	2.148164103
173	2.148066103
174	2.148008131
175	2.147926081
176	2.147851162
177	2.147777136
178	2.147705774
179	2.147600813
180	2.147507557
181	2.147425633
182	2.147347919
183	2.147280695
184	2.147190678
185	2.147120395
186	2.14705013
187	2.146971602
188	2.146899043
189	2.146761624
190	2.146693963
191	2.146608018
192	2.146523962
193	2.146456212
194	2.146385895
195	2.146304152
196	2.146235953
197	2.146158334
198	2.146099197
199	2.146045539
200	2.145963672
201	2.145867315
202	2.145789076
203	2.14569266
204	2.145616214
205	2.145554829
206	2.145487908
207	2.145419139
208	2.145345157
209	2.145269028
210	2.145198313
211	2.145124539
212	2.145042201
213	2.144961464
214	2.144898804
215	2.144822207
216	2.144705936
217	2.144632357
218	2.144546483
219	2.144477218
220	2.144412316
221	2.144329478
222	2.144271032
223	2.144180059
224	2.144100496
225	2.144033272
226	2.143934802
227	2.143864441
228	2.143751944
229	2.143681873
230	2.143608821
231	2.143526243
232	2.143465638
233	2.143417484
234	2.143381108
235	2.143321491
236	2.1432542
237	2.143145242
238	2.143069368
239	2.143021496
240	2.142949636
241	2.142873396
242	2.1427987
243	2.142706229
244	2.14263735
245	2.142575438
246	2.142499671
247	2.142444595
248	2.14237665
249	2.142315429
250	2.142241984
251	2.142172122
252	2.14210236
253	2.142014623
254	2.141924786
255	2.141862771
256	2.141796567
257	2.1417395
258	2.141660813
259	2.141598296
260	2.141533327
261	2.141471424
262	2.141401555
263	2.141349682
264	2.141264956
265	2.141207886
266	2.14114727
267	2.141081127
268	2.141020749
269	2.140962945
270	2.140910492
271	2.140850607
272	2.140793899
273	2.140719115
274	2.14064134
275	2.140573496
276	2.140507582
277	2.140417648
278	2.140370401
279	2.14032552
280	2.140279718
281	2.140216474
282	2.140161898
283	2.140077439
284	2.140030966
285	2.139964552
286	2.139873479
287	2.13979534
288	2.139769529
289	2.139663897
290	2.139599892
291	2.139530593
292	2.139457622
293	2.1394015
294	2.139346314
295	2.139297447
296	2.139244247
297	2.139189287
298	2.139117621
299	2.1390639
300	2.139001805
301	2.138938479
302	2.138860406
303	2.138771769
304	2.138696852
305	2.13861862
306	2.138569387
307	2.138482347
308	2.138422138
309	2.138352067
310	2.138301947
311	2.138248408
312	2.138171419
313	2.138123374
314	2.138053375
315	2.137969657
316	2.137922802
317	2.137869454
318	2.137819833
319	2.13775807
320	2.137680151
321	2.137634025
322	2.13758428
323	2.137518376
324	2.137463103
325	2.137413775
326	2.137395813
327	2.137326811
328	2.137247157
329	2.137171753
330	2.137122852
331	2.137069564
332	2.137014205
333	2.136941113
334	2.136856607
335	2.13677262
336	2.13668644
337	2.136637106
338	2.136606604
339	2.136545866
340	2.136472146
341	2.136415537
342	2.136355988
343	2.136292325
344	2.136241151
345	2.136177927
346	2.136128322
347	2.136116017
348	2.136083846
349	2.136019755
350	2.135970399
351	2.135921341
352	2.135851078
353	2.135767088
354	2.135706837
355	2.135653739
356	2.135592176
357	2.135581889
358	2.13553421
359	2.135466978
360	2.135384291
361	2.135333523
362	2.135276118
363	2.135214175
364	2.135153086
365	2.135097705
366	2.135035929
367	2.135021224
368	2.134978488
369	2.134923926
370	2.134872365
371	2.13482515
372	2.134779897
373	2.134713379
374	2.134656466
375	2.134578383
376	2.13452936
377	2.1344742
378	2.134413816
379	2.134355041
380	2.134299248
381	2.134236953
382	2.134176841
383	2.134158192
384	2.134097405
385	2.134042289
386	2.133980097
387	2.133914983
388	2.13387397
389	2.133814364
390	2.133763334
391	2.133710078
392	2.13367428
393	2.133619979
394	2.13356382
395	2.133488713
396	2.133448034
397	2.133375951
398	2.133287276
399	2.133248106
400	2.133199431
401	2.13313813
402	2.133124085
403	2.133053348
404	2.133005633
405	2.132945245
406	2.132875095
407	2.132829066
408	2.132767881
409	2.132758625
410	2.132719354
411	2.132651173
412	2.132597903
413	2.132555913
414	2.132490877
415	2.132429957
416	2.132376739
417	2.13232411
418	2.132267541
419	2.132190668
420	2.132144126
421	2.132094247
422	2.132026558
423	2.131977437
424	2.131926989
425	2.13187437
426	2.131831162
427	2.131791566
428	2.131727669
429	2.131677394
430	2.131625875
431	2.131588773
432	2.131539977
433	2.131480456
434	2.13142263
435	2.131372692
436	2.1313218
437	2.131260606
438	2.131203623
439	2.131157119
440	2.131104335
441	2.131053721
442	2.130993921
443	2.130933436
444	2.130876991
445	2.130823501
446	2.130774315
447	2.130717703
448	2.13064307
449	2.130573787
450	2.13051927
451	2.130473798
452	2.130395096
453	2.130349094
454	2.130299579
455	2.130229247
456	2.13018733
457	2.130134046
458	2.130081448
459	2.130019491
460	2.129964859
461	2.129923928
462	2.12987687
463	2.129840223
464	2.129761463
465	2.129702312
466	2.129652392
467	2.12958805
468	2.12953924
469	2.129478558
470	2.129438751
471	2.129394031
472	2.129328489
473	2.129281184
474	2.129241252
475	2.1292084
476	2.129152291
477	2.129096602
478	2.129044924
479	2.129001356
480	2.128962232
481	2.128918435
482	2.128865669
483	2.128801583
484	2.128682268
485	2.128610816
486	2.128551977
487	2.128517329
488	2.128468398
489	2.128429088
490	2.128359846
491	2.128294726
492	2.128248921
493	2.128194991
494	2.128128595
495	2.128078881
496	2.128042496
497	2.12799377
498	2.127935631
499	2.12788812
500	2.127826854
501	2.127778444
502	2.127716048
503	2.127662534
504	2.127605253
505	2.12755012
506	2.127498223
507	2.127474925
508	2.127420719
509	2.127362774
510	2.127310974
511	2.12722463
512	2.127213401
513	2.127151279
514	2.12713396
515	2.127081205
516	2.127025531
517	2.126984819
518	2.126927257
519	2.126860963
520	2.126801516
521	2.126768733
522	2.126705208
523	2.126663385
524	2.126633939
525	2.126588737
526	2.126541821
527	2.126496276
528	2.126445209
529	2.126401336
530	2.126360408
531	2.126298981
532	2.12624398
533	2.126187467
534	2.126140125
535	2.126082311
536	2.126030399
537	2.125984494
538	2.125945738
539	2.125888407
540	2.125837239
541	2.1257774
542	2.12576314
543	2.125704408
544	2.12565551
545	2.125610044
546	2.125541571
547	2.125484506
548	2.125427153
549	2.125359987
550	2.125309846
551	2.12526686
552	2.125207206
553	2.125154444
554	2.125107161
555	2.125056506
556	2.125006445
557	2.124954125
558	2.124909961
