iter	Passed	Remaining
0	636	636276
1	1044	521067
2	1458	484708
3	1914	476733
4	2355	468647
5	2764	458047
6	3182	451414
7	3599	446301
8	4064	447501
9	4497	445291
10	4913	441752
11	5316	437731
12	5722	434499
13	6143	432644
14	6579	432070
15	6970	428691
16	7379	426712
17	7779	424424
18	8181	422409
19	8590	420922
20	8996	419398
21	9445	419897
22	9871	419313
23	10261	417300
24	10680	416541
25	11057	414218
26	11453	412741
27	11833	410793
28	12247	410079
29	12634	408523
30	13071	408592
31	13481	407803
32	13861	406186
33	14250	404876
34	14650	403943
35	15040	402753
36	15423	401426
37	15821	400525
38	16234	400040
39	16667	400012
40	17087	399675
41	17512	399440
42	17934	399157
43	18351	398724
44	18781	398577
45	19231	398849
46	19666	398775
47	20061	397878
48	20470	397290
49	20876	396647
50	21283	396046
51	21704	395687
52	22154	395862
53	22561	395245
54	22951	394347
55	23341	393477
56	23725	392517
57	24122	391779
58	24501	390775
59	24891	389969
60	25274	389061
61	25673	388418
62	26082	387927
63	26474	387185
64	26852	386256
65	27241	385508
66	27600	384341
67	28002	383792
68	28375	382860
69	28759	382091
70	29141	381303
71	29536	380695
72	29911	379832
73	30272	378817
74	30640	377902
75	31021	377153
76	31416	376584
77	31798	375870
78	32164	374976
79	32527	374065
80	32900	373273
81	33277	372541
82	33651	371790
83	34054	371358
84	34451	370855
85	34837	370244
86	35213	369544
87	35580	368745
88	35949	367974
89	36334	367385
90	36702	366623
91	37078	365952
92	37454	365283
93	37821	364536
94	38178	363695
95	38575	363250
96	38941	362515
97	39313	361840
98	39714	361444
99	40099	360891
100	40465	360183
101	40830	359469
102	41202	358820
103	41602	358420
104	41965	357702
105	42356	357236
106	42737	356677
107	43110	356063
108	43476	355391
109	43858	354858
110	44229	354232
111	44631	353866
112	45030	353470
113	45405	352886
114	45790	352388
115	46203	352104
116	46592	351637
117	46989	351225
118	47388	350833
119	47761	350250
120	48139	349707
121	48510	349113
122	48931	348886
123	49326	348467
124	49716	348012
125	50112	347607
126	50517	347257
127	50890	346694
128	51279	346237
129	51651	345668
130	52044	345240
131	52421	344712
132	52795	344165
133	53177	343666
134	53565	343214
135	53962	342818
136	54321	342185
137	54713	341763
138	55108	341353
139	55497	340914
140	55915	340650
141	56297	340166
142	56711	339874
143	57124	339572
144	57557	339390
145	57954	338993
146	58337	338518
147	58715	338010
148	59124	337686
149	59523	337300
150	59919	336901
151	60304	336436
152	60702	336045
153	61089	335597
154	61511	335334
155	61939	335106
156	62330	334679
157	62734	334316
158	63119	333859
159	63539	333583
160	63937	333191
161	64340	332821
162	64752	332501
163	65147	332090
164	65561	331779
165	65972	331450
166	66373	331070
167	66769	330666
168	67159	330233
169	67549	329800
170	67939	329369
171	68326	328920
172	68749	328646
173	69163	328325
174	69545	327856
175	69970	327589
176	70420	327435
177	70838	327129
178	71221	326663
179	71638	326352
180	72037	325960
181	72441	325588
182	72835	325174
183	73236	324789
184	73651	324465
185	74057	324099
186	74466	323750
187	74872	323387
188	75278	323018
189	75707	322752
190	76115	322395
191	76538	322097
192	76947	321745
193	77351	321369
194	77821	321262
195	78227	320893
196	78635	320530
197	79046	320179
198	79449	319794
199	79858	319434
200	80281	319127
201	80699	318803
202	81115	318469
203	81529	318126
204	81935	317750
205	82338	317364
206	82757	317038
207	83141	316575
208	83552	316222
209	83944	315792
210	84340	315378
211	84749	315011
212	85154	314631
213	85555	314237
214	85936	313767
215	86323	313324
216	86747	313010
217	87145	312604
218	87533	312164
219	87919	311714
220	88302	311255
221	88722	310927
222	89116	310508
223	89518	310118
224	89920	309725
225	90292	309232
226	90698	308855
227	91089	308424
228	91497	308056
229	91884	307614
230	92273	307180
231	92658	306732
232	93034	306255
233	93424	305826
234	93792	305323
235	94165	304840
236	94566	304449
237	94983	304105
238	95381	303703
239	95756	303228
240	96148	302809
241	96533	302364
242	96940	301992
243	97344	301609
244	97730	301169
245	98101	300684
246	98497	300278
247	98866	299788
248	99263	299384
249	99650	298950
250	100035	298511
251	100423	298081
252	100810	297650
253	101208	297251
254	101604	296845
255	101969	296348
256	102344	295882
257	102710	295392
258	103097	294961
259	103478	294517
260	103869	294098
261	104265	293693
262	104652	293264
263	105016	292772
264	105409	292361
265	105766	291851
266	106141	291392
267	106537	290991
268	106917	290545
269	107288	290076
270	107651	289586
271	108019	289111
272	108391	288646
273	108766	288192
274	109149	287757
275	109525	287304
276	109904	286861
277	110284	286422
278	110639	285919
279	110989	285401
280	111341	284891
281	111706	284415
282	112058	283908
283	112436	283467
284	112775	282928
285	113135	282442
286	113502	281976
287	113884	281548
288	114213	280987
289	114625	280635
290	114994	280176
291	115352	279690
292	115738	279274
293	116119	278844
294	116471	278346
295	116836	277881
296	117188	277386
297	117537	276884
298	117902	276421
299	118264	275951
300	118623	275474
301	118977	274987
302	119370	274592
303	119754	274174
304	120120	273716
305	120486	273260
306	120833	272761
307	121203	272314
308	121554	271826
309	121931	271395
310	122293	270934
311	122637	270431
312	123014	270002
313	123379	269548
314	123747	269102
315	124136	268701
316	124484	268211
317	124845	267751
318	125202	267281
319	125579	266856
320	125936	266388
321	126276	265886
322	126639	265434
323	126999	264974
324	127366	264531
325	127723	264065
326	128039	263519
327	128410	263085
328	128789	262667
329	129165	262244
330	129519	261778
331	129863	261292
332	130222	260835
333	130597	260412
334	130976	259997
335	131321	259515
336	131698	259097
337	132063	258657
338	132389	258139
339	132733	257659
340	133092	257208
341	133457	256768
342	133823	256331
343	134166	255852
344	134519	255392
345	134893	254972
346	135226	254474
347	135536	253935
348	135856	253417
349	136210	252962
350	136559	252498
351	136895	252012
352	137242	251546
353	137614	251126
354	137960	250661
355	138305	250193
356	138679	249777
357	139000	249268
